step,loss,loss_smooth,ppl
0,8.12138843536377,2.3036039616810013,10.010193879099813
1,2.147972822189331,2.3036039616810013,10.010193879099813
2,5.481135368347168,2.3036039616810013,10.010193879099813
3,0.27494606375694275,2.3036039616810013,10.010193879099813
4,14.3518648147583,2.3036039616810013,10.010193879099813
5,0.8837277889251709,2.3036039616810013,10.010193879099813
6,1.2496209144592285,2.3036039616810013,10.010193879099813
7,6.044347763061523,2.3036039616810013,10.010193879099813
8,4.976124286651611,2.3036039616810013,10.010193879099813
9,5.370211601257324,2.3036039616810013,10.010193879099813
10,0.6788322925567627,2.3036039616810013,10.010193879099813
11,0.10753871500492096,2.3036039616810013,10.010193879099813
12,0.014188366010785103,2.3036039616810013,10.010193879099813
13,4.763660430908203,2.3036039616810013,10.010193879099813
14,2.47236967086792,2.3036039616810013,10.010193879099813
15,0.09712843596935272,2.3036039616810013,10.010193879099813
16,0.47988975048065186,2.3036039616810013,10.010193879099813
17,0.10900493711233139,2.3036039616810013,10.010193879099813
18,1.1692638397216797,2.3036039616810013,10.010193879099813
19,1.4046192169189453,2.3036039616810013,10.010193879099813
20,3.3071253299713135,2.3036039616810013,10.010193879099813
21,0.001443654764443636,2.3036039616810013,10.010193879099813
22,2.9801878554280847e-05,2.3036039616810013,10.010193879099813
23,0.0001530530134914443,2.3036039616810013,10.010193879099813
24,0.03474030643701553,2.3036039616810013,10.010193879099813
25,9.349077224731445,2.3036039616810013,10.010193879099813
26,6.096904277801514,2.3036039616810013,10.010193879099813
27,0.007551930844783783,2.3036039616810013,10.010193879099813
28,0.003323034383356571,2.3036039616810013,10.010193879099813
29,2.497917652130127,2.3036039616810013,10.010193879099813
30,0.01679084822535515,2.3036039616810013,10.010193879099813
31,1.8209728002548218,2.3036039616810013,10.010193879099813
32,0.5167447924613953,2.3036039616810013,10.010193879099813
33,5.963993072509766,2.3036039616810013,10.010193879099813
34,4.716530799865723,2.3036039616810013,10.010193879099813
35,5.034573078155518,2.3036039616810013,10.010193879099813
36,2.3892459869384766,2.3036039616810013,10.010193879099813
37,0.006025601178407669,2.3036039616810013,10.010193879099813
38,0.007321905344724655,2.3036039616810013,10.010193879099813
39,0.0029986200388520956,2.3036039616810013,10.010193879099813
40,0.022085079923272133,2.3036039616810013,10.010193879099813
41,0.32262662053108215,2.3036039616810013,10.010193879099813
42,5.069622039794922,2.3036039616810013,10.010193879099813
43,3.8875575065612793,2.3036039616810013,10.010193879099813
44,0.001177928177639842,2.3036039616810013,10.010193879099813
45,0.023307640105485916,2.3036039616810013,10.010193879099813
46,2.9576921463012695,2.3036039616810013,10.010193879099813
47,0.001553996349684894,2.3036039616810013,10.010193879099813
48,0.5153697729110718,2.3036039616810013,10.010193879099813
49,1.6790467500686646,2.3036039616810013,10.010193879099813
50,0.010866161435842514,2.3036039616810013,10.010193879099813
51,0.006618720479309559,2.3036039616810013,10.010193879099813
52,0.00016258825780823827,2.3036039616810013,10.010193879099813
53,0.9475224614143372,2.3036039616810013,10.010193879099813
54,0.008532142266631126,2.3036039616810013,10.010193879099813
55,4.1220197677612305,2.3036039616810013,10.010193879099813
56,3.3770511150360107,2.3036039616810013,10.010193879099813
57,0.06382138282060623,2.3036039616810013,10.010193879099813
58,3.1232194900512695,2.3036039616810013,10.010193879099813
59,2.347217082977295,2.3036039616810013,10.010193879099813
60,0.00011646069469861686,2.3036039616810013,10.010193879099813
61,0.9098659157752991,2.3036039616810013,10.010193879099813
62,5.120486259460449,2.3036039616810013,10.010193879099813
63,0.5258976221084595,2.3036039616810013,10.010193879099813
64,0.00013553177996072918,2.3036039616810013,10.010193879099813
65,0.11109645664691925,2.3036039616810013,10.010193879099813
66,0.42832595109939575,2.3036039616810013,10.010193879099813
67,5.214629650115967,2.3036039616810013,10.010193879099813
68,2.414811611175537,2.3036039616810013,10.010193879099813
69,8.903517723083496,2.3036039616810013,10.010193879099813
70,0.009775268845260143,2.3036039616810013,10.010193879099813
71,0.0002090712368953973,2.3036039616810013,10.010193879099813
72,0.2620832324028015,2.3036039616810013,10.010193879099813
73,2.4398226737976074,2.3036039616810013,10.010193879099813
74,0.09463253617286682,2.3036039616810013,10.010193879099813
75,0.001534119131974876,2.3036039616810013,10.010193879099813
76,1.1291290521621704,2.3036039616810013,10.010193879099813
77,5.499835968017578,2.3036039616810013,10.010193879099813
78,0.009406059980392456,2.3036039616810013,10.010193879099813
79,0.221750408411026,2.3036039616810013,10.010193879099813
80,7.31366491317749,2.3036039616810013,10.010193879099813
81,0.29036223888397217,2.3036039616810013,10.010193879099813
82,0.014402247034013271,2.3036039616810013,10.010193879099813
83,0.9901857972145081,2.3036039616810013,10.010193879099813
84,0.013546211645007133,2.3036039616810013,10.010193879099813
85,8.589141845703125,2.3036039616810013,10.010193879099813
86,4.761640548706055,2.3036039616810013,10.010193879099813
87,6.71832275390625,2.3036039616810013,10.010193879099813
88,5.460728645324707,2.3036039616810013,10.010193879099813
89,4.166452407836914,2.3036039616810013,10.010193879099813
90,4.717702865600586,2.3036039616810013,10.010193879099813
91,7.374978065490723,2.3036039616810013,10.010193879099813
92,0.008236252702772617,2.3036039616810013,10.010193879099813
93,0.1770043671131134,2.3036039616810013,10.010193879099813
94,7.950911521911621,2.3036039616810013,10.010193879099813
95,1.5317409038543701,2.3036039616810013,10.010193879099813
96,0.06947537511587143,2.3036039616810013,10.010193879099813
97,0.38754400610923767,2.3036039616810013,10.010193879099813
98,2.6388206481933594,2.3036039616810013,10.010193879099813
99,3.430103302001953,2.3036039616810013,10.010193879099813
100,0.010877009481191635,2.2224988474221754,9.230367351225476
101,0.0027096483390778303,2.201046215683673,9.034460551067678
102,0.03364381194114685,2.1465713001196125,8.555473898319175
103,0.19902704656124115,2.1458121099476557,8.548981131553349
104,0.010982188396155834,2.002403283684034,7.406835452751642
105,1.0274364948272705,2.003840370743055,7.417487372163647
106,0.03593749552965164,1.9917035365537594,7.328006662488214
107,0.0037807191256433725,1.9312978661144007,6.898457708519764
108,3.6216940879821777,1.9177535641277064,6.805652821516643
109,4.384629249572754,1.9078977406108606,6.738906966366837
110,0.7564756870269775,1.9086741745555629,6.744141314285456
111,0.010641142725944519,1.9077051988327731,6.737609570142663
112,3.5875966548919678,1.9434392817215849,6.982725279224313
113,0.003891396801918745,1.895841591380522,6.658149488610122
114,0.0009834696538746357,1.8711277293683815,6.495617569060126
115,4.280014991760254,1.9129565949262906,6.77308449162624
116,0.20625047385692596,1.9102202021600534,6.754576007009006
117,5.0673370361328125,1.9598035231502582,7.097932348758813
118,0.11727385222911835,1.9492836232753326,7.023654195516816
119,0.0014123475411906838,1.935251554581555,6.9257860494774075
120,0.00530419172719121,1.9022333431991136,6.700843025606976
121,0.001890778075903654,1.9022378144322283,6.700872986705189
122,1.6760501861572266,1.918998018275015,6.81412741642422
123,1.7115871906280518,1.9361123596511607,6.9317503679092844
124,0.15303105115890503,1.9372952670983796,6.939954838649828
125,0.001379372552037239,1.8438182885765855,6.32062621926314
126,0.0005183068569749594,1.7828544288671402,5.946806952467897
127,2.4007983207702637,1.8067868927663948,6.090845417936864
